OLT,F,S,P,Código QR,Cuenta,Latitud,Longitud,Capacidad,Ubicacion
ALDAMA_2_JUA,3,1,0,TP002563,0141685658,31.723277,-106.497093,1:16,Poste
ALDAMA_2_JUA,3,1,0,TP248061,0105887194,31.723283,-106.495185,1:16,Poste
ALDAMA_2_JUA,3,1,0,TP248061,0110985663,31.723283,-106.495185,1:16,Poste
ALDAMA_2_JUA,3,1,0,TP248061,0103563900,31.723283,-106.495185,1:16,Poste
ALDAMA_2_JUA,3,1,0,TP248061,0141944787,31.723283,-106.495185,1:16,Poste
ALDAMA_2_JUA,3,1,0,TP248095,0141743481,31.727646,-106.493368,1:8,Poste
ALDAMA_2_JUA,3,1,0,TP248095,0106993337,31.727646,-106.493368,1:8,Poste
ALDAMA_2_JUA,3,1,0,TP248095,0141052242,31.727646,-106.493368,1:8,Poste
ALDAMA_2_JUA,3,1,0,TP248095,0142044307,31.727646,-106.493368,1:8,Poste
ALDAMA_2_JUA,3,1,0,TP248101,0143041330,31.723771,-106.495919,1:16,Poste
ALDAMA_2_JUA,3,1,0,TP248101,0140258811,31.723771,-106.495919,1:16,Poste
ALDAMA_2_JUA,3,1,0,TP248101,0142259084,31.723771,-106.495919,1:16,Poste
ALDAMA_2_JUA,3,1,0,TP248101,0107819216,31.723771,-106.495919,1:16,Poste
ALDAMA_2_JUA,3,1,0,TP248101,0143202941,31.723771,-106.495919,1:16,Poste
ALDAMA_2_JUA,3,1,0,TP248101,0112991076,31.723771,-106.495919,1:16,Poste
ALDAMA_2_JUA,3,1,0,TP248101,0130385354,31.723771,-106.495919,1:16,Poste
ALDAMA_2_JUA,3,1,0,TP248101,0101090827,31.723771,-106.495919,1:16,Poste
ALDAMA_2_JUA,3,1,0,TP248101,0141605581,31.723771,-106.495919,1:16,Poste
ALDAMA_2_JUA,3,1,0,TP248101,0103455247,31.723771,-106.495919,1:16,Poste
ALDAMA_2_JUA,3,1,0,TP248101,0109421243,31.723771,-106.495919,1:16,Poste
ALDAMA_2_JUA,3,1,0,TP248105,0141712199,31.724231,-106.498115,1:16,Poste
ALDAMA_2_JUA,3,1,0,TP248105,0104287613,31.724231,-106.498115,1:16,Poste
ALDAMA_2_JUA,3,1,0,TP248105,0141133293,31.724231,-106.498115,1:16,Poste
ALDAMA_2_JUA,3,1,0,TP248105,0116732241,31.724231,-106.498115,1:16,Poste
ALDAMA_2_JUA,3,1,0,TP248105,0140103482,31.724231,-106.498115,1:16,Poste
ALDAMA_2_JUA,3,1,0,TP248105,0142517090,31.724231,-106.498115,1:16,Poste
ALDAMA_2_JUA,3,1,0,TP248105,0114679281,31.724231,-106.498115,1:16,Poste
ALDAMA_2_JUA,3,1,0,TP248105,0143138357,31.724231,-106.498115,1:16,Poste
ALDAMA_2_JUA,3,1,0,TP248105,0103709655,31.724231,-106.498115,1:16,Poste
ALDAMA_2_JUA,3,1,0,TP253563,0113147036,31.723277,-106.497093,1:16,Poste
ALDAMA_2_JUA,3,1,0,TP253563,0125657961,31.723277,-106.497093,1:16,Poste
ALDAMA_2_JUA,3,1,0,TP253563,0115940948,31.723277,-106.497093,1:16,Poste
ALDAMA_2_JUA,3,1,0,TP253563,0105206381,31.723277,-106.497093,1:16,Poste
ALDAMA_2_JUA,3,1,0,TP253563,0131412328,31.723277,-106.497093,1:16,Poste
ALDAMA_2_JUA,3,1,0,TP253563,0200873506,31.723277,-106.497093,1:16,Poste
ALDAMA_2_JUA,3,1,0,TP253563,0140590704,31.723277,-106.497093,1:16,Poste
ALDAMA_2_JUA,3,1,0,TP253563,0115516282,31.723277,-106.497093,1:16,Poste
ALDAMA_2_JUA,3,1,0,TP253563,0140904690,31.723277,-106.497093,1:16,Poste
ALDAMA_2_JUA,3,1,0,TP253563,0123603772,31.723277,-106.497093,1:16,Poste
ALDAMA_2_JUA,3,1,0,TP255806,0143373954,31.725937,-106.493953,1:16,Poste
ALDAMA_2_JUA,3,1,0,TP255806,0140036418,31.725937,-106.493953,1:16,Poste
ALDAMA_2_JUA,3,1,0,TP255806,0141818366,31.725937,-106.493953,1:16,Poste
